 

stn;time;tso010d0;tso020d0;tso005d0
BAS;20180329;8.4;8.3;8.4
BAS;20180330;7.9;8.0;7.9
BAS;20180331;8.1;8.0;8.1
BAS;20180401;7.9;8.0;7.8
BAS;20180402;7.8;7.8;7.9
BAS;20180403;9.0;8.5;9.4
BAS;20180404;9.9;9.5;10.2
BAS;20180405;9.9;9.7;10.0
BAS;20180406;10.0;9.7;10.2
BAS;20180407;11.0;10.3;11.4
BAS;20180408;12.2;11.4;12.7
BAS;20180409;12.8;12.1;13.2
BAS;20180410;12.3;12.2;12.2
BAS;20180411;11.6;11.4;11.7
BAS;20180412;12.7;12.1;13.1
BAS;20180413;12.9;12.5;13.2
BAS;20180414;13.2;12.7;13.5
BAS;20180415;13.9;13.3;14.3
BAS;20180416;14.5;13.9;15.0
BAS;20180417;15.1;14.3;15.6
BAS;20180418;15.5;14.8;15.9
BAS;20180419;15.9;15.2;16.5
BAS;20180420;16.5;15.7;17.0
BAS;20180421;17.0;16.2;17.6
BAS;20180422;17.4;16.6;18.0
BAS;20180423;17.1;16.7;17.2
BAS;20180424;17.1;16.5;17.6
BAS;20180425;17.1;16.7;17.4
BAS;20180426;16.5;16.4;16.6
BAS;20180427;16.3;16.0;16.6
BAS;20180428;16.8;16.4;17.2
BAS;20180429;17.1;16.6;17.4
BAS;20180430;16.9;16.7;16.8
BAS;20180501;15.8;16.0;15.7
BAS;20180502;15.3;15.4;15.2
BAS;20180503;15.1;15.2;14.9
BAS;20180504;15.0;15.0;15.1
BAS;20180505;16.3;15.6;17.0
BAS;20180506;17.8;16.7;18.5
BAS;20180507;18.4;17.5;19.0
BAS;20180508;19.2;18.2;19.8
BAS;20180509;19.2;18.6;19.5
BAS;20180510;16.8;17.3;16.4
BAS;20180511;17.3;16.9;17.7
BAS;20180512;18.7;17.9;19.3
BAS;20180513;17.8;18.1;17.5
BAS;20180514;16.1;16.6;15.9
BAS;20180515;15.9;16.1;15.8
BAS;20180516;15.4;15.6;15.2
BAS;20180517;15.3;15.4;15.3
BAS;20180518;16.2;15.8;16.7
BAS;20180519;17.2;16.7;17.6
BAS;20180520;17.6;17.2;17.9
BAS;20180521;18.2;17.6;18.6
BAS;20180522;18.7;18.1;19.1
BAS;20180523;19.0;18.5;19.3
BAS;20180524;19.8;19.0;20.4
BAS;20180525;20.5;19.7;21.1
BAS;20180526;21.2;20.3;21.8
BAS;20180527;21.5;20.8;22.0
BAS;20180528;21.9;21.0;22.4
BAS;20180529;22.1;21.4;22.5
BAS;20180530;22.3;21.5;22.7
BAS;20180531;22.3;21.7;22.5
BAS;20180601;21.7;21.4;21.8
BAS;20180602;21.9;21.3;22.2
BAS;20180603;22.3;21.6;22.7
BAS;20180604;22.9;22.1;23.3
BAS;20180605;23.1;22.3;23.6
BAS;20180606;23.2;22.6;23.5
BAS;20180607;22.9;22.5;23.2
BAS;20180608;23.3;22.6;23.7
BAS;20180609;23.3;22.8;23.6
BAS;20180610;23.2;22.7;23.6
BAS;20180611;22.8;22.6;22.8
BAS;20180612;22.1;22.0;22.2
BAS;20180613;21.1;21.4;20.8
BAS;20180614;20.3;20.4;20.4
BAS;20180615;21.1;20.7;21.4
BAS;20180616;21.7;21.2;22.0
BAS;20180617;21.8;21.5;21.9
BAS;20180618;21.7;21.4;21.9
BAS;20180619;22.5;21.8;22.9
BAS;20180620;23.3;22.5;23.8
BAS;20180621;23.8;23.1;24.0
BAS;20180622;22.7;22.7;22.7
BAS;20180623;22.0;22.0;21.9
BAS;20180624;21.7;21.7;21.7
BAS;20180625;21.6;21.5;21.6
BAS;20180626;21.8;21.4;22.0
BAS;20180627;22.6;22.0;23.0
BAS;20180628;22.4;22.1;22.5
BAS;20180629;22.4;22.0;22.7
BAS;20180630;23.4;22.5;24.0
BAS;20180701;24.1;23.2;24.7
BAS;20180702;24.4;23.6;25.0
BAS;20180703;23.6;23.4;23.6
BAS;20180704;23.9;23.2;24.3
BAS;20180705;23.3;23.2;23.2
BAS;20180706;22.4;22.5;22.4
BAS;20180707;22.8;22.4;23.1
BAS;20180708;23.5;22.9;23.8
BAS;20180709;23.6;23.1;23.9
BAS;20180710;23.2;23.1;23.2
BAS;20180711;22.3;22.4;22.2
BAS;20180712;22.0;21.9;22.1
BAS;20180713;22.7;22.2;23.0
BAS;20180714;23.4;22.8;23.7
BAS;20180715;23.2;22.9;23.2
BAS;20180716;23.1;22.7;23.4
BAS;20180717;23.6;23.1;23.9
BAS;20180718;24.0;23.4;24.3
BAS;20180719;24.2;23.7;24.5
BAS;20180720;23.9;23.7;23.9
BAS;20180721;22.8;23.0;22.6
BAS;20180722;22.8;22.6;23.0
BAS;20180723;23.4;23.0;23.6
BAS;20180724;23.9;23.3;24.4
BAS;20180725;24.9;24.0;25.4
BAS;20180726;24.9;24.2;25.2
BAS;20180727;24.9;24.3;25.4
BAS;20180728;24.2;24.1;24.0
BAS;20180729;24.2;23.6;24.7
BAS;20180730;25.1;24.3;25.7
BAS;20180731;25.6;24.7;26.1
BAS;20180801;25.9;25.1;26.2
BAS;20180802;25.9;25.1;26.4
BAS;20180803;26.4;25.5;27.0
BAS;20180804;27.0;25.9;27.6
BAS;20180805;27.0;26.1;27.5
BAS;20180806;27.0;26.2;27.5
BAS;20180807;26.7;26.1;27.0
BAS;20180808;26.0;25.7;26.1
BAS;20180809;24.6;24.9;24.4
BAS;20180810;23.9;24.1;23.8
BAS;20180811;23.5;23.6;23.5
BAS;20180812;23.5;23.4;23.6
BAS;20180813;23.2;23.4;23.0
BAS;20180814;23.2;23.0;23.3
BAS;20180815;23.3;23.1;23.4
BAS;20180816;23.5;23.2;23.8
BAS;20180817;23.4;23.3;23.4
BAS;20180818;23.4;23.2;23.6
BAS;20180819;23.9;23.4;24.3
BAS;20180820;24.2;23.7;24.6
BAS;20180821;24.7;24.0;25.2
BAS;20180822;25.0;24.3;25.5
BAS;20180823;24.8;24.4;24.9
BAS;20180824;23.1;23.6;22.6
BAS;20180825;20.4;21.8;19.5
BAS;20180826;19.6;20.4;19.4
BAS;20180827;20.4;20.6;20.4
BAS;20180828;21.6;21.2;21.9
BAS;20180829;21.5;21.5;21.5
BAS;20180830;21.0;21.2;20.8
BAS;20180831;19.5;20.5;18.9
BAS;20180901;18.5;19.3;18.1
BAS;20180902;18.2;18.9;18.0
BAS;20180903;18.9;19.0;19.0
BAS;20180904;19.6;19.5;19.7
BAS;20180905;20.1;19.9;20.4
BAS;20180906;19.9;20.1;19.8
BAS;20180907;19.9;19.9;20.0
BAS;20180908;19.9;19.9;20.0
BAS;20180909;20.0;19.9;20.2
BAS;20180910;20.1;20.0;20.3
BAS;20180911;20.4;20.2;20.7
BAS;20180912;20.9;20.5;21.3
BAS;20180913;21.2;20.9;21.3
BAS;20180914;20.8;20.7;20.8
BAS;20180915;20.5;20.5;20.5
BAS;20180916;19.7;19.9;19.6
BAS;20180917;20.2;20.0;20.5
BAS;20180918;20.6;20.3;20.9
BAS;20180919;20.8;20.5;21.0
BAS;20180920;21.1;20.8;21.4
BAS;20180921;20.4;20.6;20.1
BAS;20180922;19.1;19.6;18.9
BAS;20180923;19.3;19.5;19.3
BAS;20180924;18.0;18.9;17.5
BAS;20180925;16.2;17.4;15.7
BAS;20180926;15.9;16.7;15.7
BAS;20180927;16.6;16.8;16.6
BAS;20180928;17.2;17.3;17.3
BAS;20180929;17.1;17.4;17.0
BAS;20180930;16.6;17.0;16.6
BAS;20181001;16.0;16.9;15.5
BAS;20181002;14.7;15.7;14.3
BAS;20181003;15.0;15.6;14.8
BAS;20181004;15.3;15.6;15.3
BAS;20181005;15.6;15.8;15.7
BAS;20181006;16.1;16.1;16.2
BAS;20181007;16.3;16.4;16.4
BAS;20181008;16.5;16.6;16.5
BAS;20181009;16.0;16.3;16.0
BAS;20181010;16.4;16.4;16.5
BAS;20181011;15.9;16.2;15.7
BAS;20181012;16.3;16.2;16.6
BAS;20181013;16.6;16.5;16.8
BAS;20181014;16.6;16.6;16.7
BAS;20181015;16.1;16.4;16.1
BAS;20181016;15.6;15.9;15.6
BAS;20181017;15.3;15.7;15.2
BAS;20181018;14.8;15.3;14.7
BAS;20181019;14.8;15.2;14.7
BAS;20181020;14.2;14.8;14.0
BAS;20181021;14.2;14.6;14.0
BAS;20181022;12.9;13.9;12.4
BAS;20181023;12.6;13.3;12.3
BAS;20181024;12.9;13.4;12.8
BAS;20181025;13.4;13.7;13.4
BAS;20181026;13.4;13.7;13.3
BAS;20181027;12.3;13.3;11.6
BAS;20181028;10.3;11.9;9.7
BAS;20181029;9.8;11.0;9.3
BAS;20181030;9.3;10.4;8.7
BAS;20181031;8.6;9.7;8.1
BAS;20181101;9.0;9.6;8.9
BAS;20181102;9.4;10.0;9.2
BAS;20181103;9.9;10.2;9.8
BAS;20181104;10.2;10.5;10.0
BAS;20181105;10.2;10.6;10.1
BAS;20181106;10.0;10.5;9.8
BAS;20181107;10.2;10.5;10.2
BAS;20181108;10.8;11.0;10.9
BAS;20181109;10.6;11.0;10.5
BAS;20181110;10.6;10.9;10.5
BAS;20181111;10.9;11.2;10.9
BAS;20181112;10.9;11.1;10.9
BAS;20181113;11.1;11.3;11.0
BAS;20181114;10.7;11.1;10.6
BAS;20181115;10.6;10.9;10.4
BAS;20181116;10.0;10.7;9.6
BAS;20181117;8.7;9.7;8.2
BAS;20181118;7.2;8.4;6.5
BAS;20181119;6.1;7.3;5.4
BAS;20181120;5.9;6.8;5.4
BAS;20181121;5.5;6.4;4.9
BAS;20181122;5.7;6.3;5.3
BAS;20181123;5.5;6.2;5.1
BAS;20181124;6.0;6.4;5.9
BAS;20181125;5.9;6.5;5.7
